=== SETTRADE SCANNER FULL REPORT ===
Date/Time: 31/07/2026 11:02:51
--------------------------------------------------
Symbol     | Price  | Change%  | Value 5D   | Status         
CPF        |  22.40 |   +1.36% |   347.46M | [HOLD (2/4)]
CPN        |  68.25 |   +0.74% |   474.13M | [HOLD (3/4)]
CRC        |  26.50 |   +6.85% |   401.75M | 🔥 [BUY SIGNAL (4/4)]
DELTA      | 277.00 |   +4.92% |  5188.40M | [HOLD (1/4)]
EA         |   2.92 |   +0.69% |    81.28M | [HOLD (1/4)]
EGCO       | 133.00 |   -1.48% |   152.99M | [HOLD (1/4)]
EKH        |   5.00 |   +0.00% |     1.20M | [HOLD (1/4)]
FORTH      |  17.60 |   +9.32% |   188.40M | [HOLD (3/4)]
GLOBAL     |   7.35 |   -0.68% |    87.03M | [HOLD (3/4)]
GPSC       |  51.75 |   -0.96% |   450.10M | [HOLD (1/4)]
GULF       |  66.50 |   +1.14% |  2488.07M | [HOLD (2/4)]
GUNKUL     |   5.05 |   +0.00% |   287.37M | [HOLD (1/4)]
HANA       |  36.00 |   +7.46% |   816.89M | [HOLD (1/4)]
HMPRO      |   6.50 |   +0.78% |   237.82M | [HOLD (2/4)]
IRPC       |   2.08 |   +0.00% |   204.11M | [HOLD (1/4)]
IVL        |  22.10 |   +1.38% |   760.67M | [HOLD (1/4)]
JAS        |   1.08 |   +1.89% |    14.21M | [HOLD (2/4)]
JMART      |  11.10 |   +0.91% |   109.32M | [HOLD (1/4)]
JMT        |  12.10 |   +1.68% |    77.32M | [HOLD (2/4)]
KBANK      | 243.00 |   +0.41% |  3637.36M | [HOLD (3/4)]
KCE        |  40.25 |   +6.62% |   602.94M | [HOLD (1/4)]
KKP        | 113.00 |   +0.44% |  1302.99M | [HOLD (1/4)]
KTB        |  44.25 |   +3.51% |  3834.41M | [HOLD (2/4)]
KTC        |  38.00 |   -1.30% |   725.19M | [HOLD (1/4)]
LH         |   3.80 |   +0.53% |    52.88M | [HOLD (2/4)]
M          |  21.60 |   +0.47% |    18.17M | [HOLD (3/4)]
MASTER     |   8.90 |   +0.56% |     2.74M | [HOLD (2/4)]
MBK        |  22.80 |   +3.17% |    33.99M | [HOLD (2/4)]
MEGA       |  38.00 |   +0.66% |    19.35M | [HOLD (3/4)]
MINT       |  23.70 |   +2.60% |   938.57M | [HOLD (2/4)]
MTC        |  34.00 |   +0.00% |   371.07M | [HOLD (2/4)]
NEX        |   1.01 |   +1.00% |     6.46M | [HOLD (1/4)]
OR         |  12.90 |   +0.78% |   138.50M | [HOLD (2/4)]
ORI        |   2.02 |   +2.02% |     2.80M | [HOLD (2/4)]
OSP        |  17.40 |   -0.57% |    95.46M | [HOLD (1/4)]
PLANB      |   6.10 |   +0.83% |   172.90M | [HOLD (3/4)]
PRM        |  10.00 |   +1.01% |    70.81M | [HOLD (3/4)]
PSL        |   8.10 |   +1.89% |    23.97M | [HOLD (1/4)]
PTG        |   7.45 |   -0.67% |    15.43M | [HOLD (1/4)]
PTT        |  38.50 |   +0.00% |  2638.61M | [HOLD (1/4)]
PTTEP      | 149.50 |   +0.67% |  2444.07M | [HOLD (3/4)]
PTTGC      |  37.00 |   +0.68% |  1149.61M | [HOLD (1/4)]
QH         |   1.43 |   +0.70% |    16.67M | [HOLD (2/4)]
RATCH      |  38.25 |   -1.29% |   168.43M | [HOLD (1/4)]
RBF        |   4.98 |   -0.40% |     7.60M | [HOLD (3/4)]
RCL        |  35.00 |   +2.19% |    83.55M | [HOLD (3/4)]
SAWAD      |  24.70 |   +0.00% |   366.02M | [HOLD (1/4)]
SCB        | 152.50 |   +0.33% |  2697.30M | [HOLD (2/4)]
SCC        | 254.00 |   -0.39% |  1319.79M | [HOLD (2/4)]
SCGP       |  30.00 |   -0.83% |   210.90M | [HOLD (1/4)]
SNNP       |   7.05 |   +1.44% |     2.47M | [HOLD (2/4)]
SPALI      |  16.00 |   +0.00% |    37.32M | [HOLD (3/4)]
SPRC       |  11.00 |   +1.85% |   379.96M | 🔥 [BUY SIGNAL (4/4)]
STA        |  18.70 |   +1.63% |   140.83M | [HOLD (2/4)]
STGT       |  10.40 |   +0.97% |     9.67M | [HOLD (1/4)]
TCAP       |  78.00 |   +9.47% |   451.27M | [HOLD (3/4)]
THG        |   7.50 |   +1.35% |     4.37M | [HOLD (2/4)]
TIDLOR     |  19.00 |   -0.52% |   282.73M | [HOLD (1/4)]
TIPH       |  23.50 |   +1.29% |     7.54M | [HOLD (2/4)]
TISCO      | 129.50 |   +1.17% |   461.87M | [HOLD (2/4)]
TLI        |  11.70 |   +0.00% |   105.37M | [HOLD (1/4)]
TOP        |  64.50 |   +1.18% |   923.30M | [HOLD (2/4)]
TPIPL      |   0.89 |   +1.14% |    52.08M | [HOLD (2/4)]
TPIPP      |   1.80 |   +0.56% |     5.26M | [HOLD (1/4)]
TRUE       |  14.50 |   -0.68% |  2715.56M | [HOLD (3/4)]
TTB        |   3.10 |   +1.97% |  1476.16M | [HOLD (2/4)]
TU         |  12.30 |   +0.00% |   161.52M | [HOLD (2/4)]
WHA        |   4.86 |   +1.25% |   893.81M | [HOLD (1/4)]
TFG        |   9.95 |   +1.53% |   104.06M | [HOLD (1/4)]
AAV        |   1.06 |   +0.95% |    25.28M | [HOLD (2/4)]
ITEL       |   1.69 |   +3.05% |     5.99M | [HOLD (1/4)]
THCOM      |  10.80 |   +0.00% |    29.17M | [HOLD (1/4)]
AIT        |   4.90 |   -0.41% |     3.03M | [HOLD (1/4)]
LANNA      |  14.60 |   +0.00% |     2.43M | [HOLD (1/4)]
BAY        |  40.50 |   +0.62% |    84.64M | [HOLD (2/4)]
SPI        |  32.75 |   +0.77% |     0.12M | [HOLD (1/4)]
SPCG       |   9.20 |   +0.00% |     4.10M | [HOLD (1/4)]
AKR        |   0.90 |   +1.12% |     0.58M | [HOLD (3/4)]
NSL        |  22.90 |   +0.88% |     3.98M | [HOLD (2/4)]
MOSHI      |  41.75 |   +1.83% |    15.40M | 🔥 [BUY SIGNAL (4/4)]
CMR        |   1.25 |   +0.00% |     0.10M | [HOLD (1/4)]
META80     |   2.30 |   +0.88% |    49.19M | [HOLD (1/4)]
AMD80      |   3.32 |  +14.48% |    64.66M | [HOLD (1/4)]
MSFT80     |   7.45 |   +5.67% |    59.51M | [HOLD (3/4)]
GOOG80     |   5.70 |   +1.79% |    86.65M | [HOLD (2/4)]
AVGO80     |   2.62 |   +4.80% |     6.89M | [HOLD (3/4)]
MICRON80   |  30.00 |  +21.46% |    28.74M | [HOLD (2/4)]
TSLA80     |   2.10 |   +3.96% |    68.99M | [HOLD (2/4)]
AMZN80     |   2.16 |   +9.64% |    15.08M | [HOLD (2/4)]
PEP80      |   0.94 |   -2.08% |     1.30M | [HOLD (4/4)]
MRVL80     |   6.45 |  +17.27% |    11.99M | [HOLD (1/4)]
NOVOB80    |   1.70 |   -0.58% |     2.97M | [HOLD (3/4)]
SP500US80  |   2.94 |   +0.68% |     1.84M | [HOLD (1/4)]
KO80       |   2.98 |   +0.00% |     0.86M | [HOLD (4/4)]
SBUX80     |   1.78 |   -3.26% |     0.21M | [HOLD (2/4)]
SONY80     |   3.98 |   +2.58% |     1.48M | [HOLD (4/4)]
SINGTEL80  |  11.70 |   -1.68% |     0.98M | [HOLD (2/4)]
JD80       |   5.40 |   +0.00% |     3.88M | [HOLD (3/4)]
NIKE80     |   0.71 |   +0.00% |     0.41M | [HOLD (1/4)]
PFIZER19   |  16.70 |   -0.60% |     2.04M | [HOLD (2/4)]
VNM19      |   7.80 |   +0.00% |     3.11M | [HOLD (4/4)]
THAIBEV19  |  12.00 |   +0.00% |     0.48M | [HOLD (3/4)]
DBS19      |  19.40 |   -0.51% |     2.03M | [HOLD (3/4)]
UOB19      |  11.30 |   -0.88% |     0.02M | [HOLD (2/4)]
SPFIN80    |  19.10 |   +0.00% |     0.03M | [HOLD (3/4)]
SPCOM80    |   3.56 |   -2.73% |     0.03M | [HOLD (1/4)]
HK01       |  22.50 |   -0.88% |     0.59M | [HOLD (3/4)]
SPBOND80   |   8.50 |   +0.00% |     0.10M | [HOLD (1/4)]
SMIC23     |   3.24 |   +1.25% |    10.79M | [HOLD (1/4)]
HUAHONG23  |   8.00 |   +3.90% |    21.25M | [HOLD (1/4)]
